ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,airlines,0.37059999999999993,349.4539
Decision Tree-Extra Tree-BernoulliNB-Gradient Boosting,4,airlines,0.36171999999999993,145.04540000000003
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB,4,airlines,0.37435999999999997,131.4152
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Extra Trees,5,airlines,0.38024,368.94280000000003
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Gradient Boosting,5,airlines,0.36447999999999997,146.1567
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Nearest Neighbors,5,airlines,0.38512,2407.4284999999995
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,airlines,0.3760800000000001,157.4188
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors,4,airlines,0.38028000000000006,2276.2327
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Extra Trees,5,airlines,0.37904000000000004,2465.8079
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,airlines,0.36668,2370.9205
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,airlines,0.37336,2377.349
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators),4,airlines,0.37067999999999995,149.95530000000002
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,airlines,0.36304,170.73839999999998
Decision Tree-Extra Tree-Extra Trees,3,airlines,0.39128,295.0513
Decision Tree-Extra Tree-Extra Trees-Gradient Boosting,4,airlines,0.37292,316.2813
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators),4,airlines,0.3770800000000001,346.9164999999999
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,airlines,0.36848000000000003,351.23560000000003
Decision Tree-Extra Tree-Gradient Boosting,3,airlines,0.3778,97.75479999999999
Decision Tree-Extra Tree-Linear Discriminant,3,airlines,0.38008000000000003,110.99929999999999
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB,4,airlines,0.3604800000000001,131.4043
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Extra Trees,5,airlines,0.36956,341.63230000000004
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Gradient Boosting,5,airlines,0.35416000000000003,148.3657
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-MultinomialNB,5,airlines,0.3666,139.9661
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,airlines,0.36624,2270.7892
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,airlines,0.36508,158.02450000000002
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees,4,airlines,0.37315999999999994,318.96539999999993
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Gradient Boosting,5,airlines,0.3652,336.17069999999995
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,airlines,0.3699199999999999,342.1321
Decision Tree-Extra Tree-Linear Discriminant-Gradient Boosting,4,airlines,0.35852,132.25799999999998
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB,4,airlines,0.36964,104.00919999999999
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Extra Trees,5,airlines,0.3771999999999999,341.80499999999995
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Gradient Boosting,5,airlines,0.36032000000000003,136.9632
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Nearest Neighbors,5,airlines,0.38036000000000003,2268.7965
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Random Forest (10 estimators),5,airlines,0.3716,137.24150000000003
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors,4,airlines,0.37612,2241.1079999999997
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Extra Trees,5,airlines,0.37584000000000006,2455.9181
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,airlines,0.36244,2346.9289
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,airlines,0.37048000000000003,2348.8259000000003
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant,4,airlines,0.37639999999999996,196.05939999999998
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,airlines,0.37707999999999997,238.2412
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,airlines,0.38168,419.12019999999995
