ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,MiniBooNE,0.07788,202.3877
Decision Tree-Extra Tree-Linear Discriminant-Gradient Boosting,4,MiniBooNE,0.08524,100.87650000000001
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors,4,MiniBooNE,0.09759999999999999,1679.7521000000002
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Extra Trees,5,MiniBooNE,0.08016000000000001,1775.9517999999996
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,MiniBooNE,0.07844,1736.9651999999999
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,MiniBooNE,0.08236,1752.6555
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant,4,MiniBooNE,0.0894,107.63840000000002
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,MiniBooNE,0.0958,101.18180000000001
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,MiniBooNE,0.07972,200.7948
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,MiniBooNE,0.07884,104.70009999999999
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,MiniBooNE,0.08664000000000001,1671.5016
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,MiniBooNE,0.08168,109.79560000000001
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators),4,MiniBooNE,0.09032,101.25749999999998
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,MiniBooNE,0.07712000000000001,107.33779999999999
Decision Tree-Extra Tree-Logistic,3,MiniBooNE,0.10912000000000002,98.3056
Decision Tree-Extra Tree-Logistic-BernoulliNB,4,MiniBooNE,0.1316,99.16209999999998
Decision Tree-Extra Tree-Logistic-BernoulliNB-Extra Trees,5,MiniBooNE,0.09608,208.5661
Decision Tree-Extra Tree-Logistic-BernoulliNB-Gradient Boosting,5,MiniBooNE,0.09512000000000001,107.6122
Decision Tree-Extra Tree-Logistic-BernoulliNB-Nearest Neighbors,5,MiniBooNE,0.10751999999999999,1791.9597
Decision Tree-Extra Tree-Logistic-BernoulliNB-Random Forest (10 estimators),5,MiniBooNE,0.10036,112.2624
Decision Tree-Extra Tree-Logistic-Extra Trees,4,MiniBooNE,0.1026,193.4921
Decision Tree-Extra Tree-Logistic-Extra Trees-Gradient Boosting,5,MiniBooNE,0.07832,200.74069999999998
Decision Tree-Extra Tree-Logistic-Extra Trees-Random Forest (10 estimators),5,MiniBooNE,0.0824,203.28289999999998
Decision Tree-Extra Tree-Logistic-Gradient Boosting,4,MiniBooNE,0.10052000000000001,109.87620000000001
Decision Tree-Extra Tree-Logistic-Linear Discriminant,4,MiniBooNE,0.11036000000000001,99.41080000000001
Decision Tree-Extra Tree-Logistic-Linear Discriminant-BernoulliNB,5,MiniBooNE,0.1048,100.34870000000001
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Extra Trees,5,MiniBooNE,0.08575999999999999,190.5587
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Gradient Boosting,5,MiniBooNE,0.08439999999999999,116.1085
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Nearest Neighbors,5,MiniBooNE,0.09552000000000001,1793.6353
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Quadratic Discriminant,5,MiniBooNE,0.09195999999999999,106.30539999999999
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Random Forest (10 estimators),5,MiniBooNE,0.08940000000000001,112.1165
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron,4,MiniBooNE,0.10644,98.9417
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-BernoulliNB,5,MiniBooNE,0.10108000000000002,109.2019
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Extra Trees,5,MiniBooNE,0.08252,198.7507
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Gradient Boosting,5,MiniBooNE,0.08084,106.4173
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Linear Discriminant,5,MiniBooNE,0.08859999999999998,100.54350000000001
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Nearest Neighbors,5,MiniBooNE,0.09276,1770.4705
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Quadratic Discriminant,5,MiniBooNE,0.08836,102.776
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Random Forest (10 estimators),5,MiniBooNE,0.08492,111.6576
Decision Tree-Extra Tree-Logistic-Nearest Neighbors,4,MiniBooNE,0.11423999999999998,1657.0561000000002
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Extra Trees,5,MiniBooNE,0.0888,1815.7556
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Gradient Boosting,5,MiniBooNE,0.08684,1712.1743
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Random Forest (10 estimators),5,MiniBooNE,0.09152,1725.0215
Decision Tree-Extra Tree-Logistic-Passive Aggressive,4,MiniBooNE,0.12168000000000001,89.70660000000001
Decision Tree-Extra Tree-Logistic-Passive Aggressive-BernoulliNB,5,MiniBooNE,0.11708,100.54330000000002
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Extra Trees,5,MiniBooNE,0.09368,186.0205
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Gradient Boosting,5,MiniBooNE,0.09188,105.5395
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Linear Discriminant,5,MiniBooNE,0.10188,93.99999999999999
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Multi-layer Perceptron,5,MiniBooNE,0.09748,98.29090000000001
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Nearest Neighbors,5,MiniBooNE,0.10495999999999998,1655.1148999999998
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Perceptron,5,MiniBooNE,0.12304,98.0862
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Quadratic Discriminant,5,MiniBooNE,0.10984000000000001,97.26339999999999
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Random Forest (10 estimators),5,MiniBooNE,0.09655999999999999,100.88660000000002
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Ridge,5,MiniBooNE,0.10203999999999999,98.2234
Decision Tree-Extra Tree-Logistic-Passive Aggressive-SGD,5,MiniBooNE,0.12143999999999999,94.09849999999999
Decision Tree-Extra Tree-Logistic-Perceptron,4,MiniBooNE,0.14140000000000003,96.52779999999998
Decision Tree-Extra Tree-Logistic-Perceptron-BernoulliNB,5,MiniBooNE,0.12840000000000001,104.28120000000001
Decision Tree-Extra Tree-Logistic-Perceptron-Extra Trees,5,MiniBooNE,0.10147999999999999,191.7436
Decision Tree-Extra Tree-Logistic-Perceptron-Gradient Boosting,5,MiniBooNE,0.09832,99.3781
Decision Tree-Extra Tree-Logistic-Perceptron-Linear Discriminant,5,MiniBooNE,0.10884,91.38110000000002
Decision Tree-Extra Tree-Logistic-Perceptron-Multi-layer Perceptron,5,MiniBooNE,0.10400000000000001,97.16810000000001
Decision Tree-Extra Tree-Logistic-Perceptron-Nearest Neighbors,5,MiniBooNE,0.11167999999999997,1688.4627
Decision Tree-Extra Tree-Logistic-Perceptron-Quadratic Discriminant,5,MiniBooNE,0.11191999999999999,98.0587
Decision Tree-Extra Tree-Logistic-Perceptron-Random Forest (10 estimators),5,MiniBooNE,0.10388000000000001,103.72200000000001
Decision Tree-Extra Tree-Logistic-Perceptron-Ridge,5,MiniBooNE,0.10896000000000002,100.21310000000001
Decision Tree-Extra Tree-Logistic-Perceptron-SGD,5,MiniBooNE,0.14292,91.5066
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant,4,MiniBooNE,0.10708,100.7002
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-BernoulliNB,5,MiniBooNE,0.10851999999999999,114.86269999999999
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Extra Trees,5,MiniBooNE,0.08371999999999999,207.6058
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Gradient Boosting,5,MiniBooNE,0.0828,111.1021
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Nearest Neighbors,5,MiniBooNE,0.09644,1788.8841
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Random Forest (10 estimators),5,MiniBooNE,0.08843999999999999,111.31890000000001
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators),4,MiniBooNE,0.10507999999999999,106.0847
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators)-Gradient Boosting,5,MiniBooNE,0.0814,112.70510000000002
Decision Tree-Extra Tree-Logistic-Ridge,4,MiniBooNE,0.11124,93.209
Decision Tree-Extra Tree-Logistic-Ridge-BernoulliNB,5,MiniBooNE,0.10472,105.09959999999998
Decision Tree-Extra Tree-Logistic-Ridge-Extra Trees,5,MiniBooNE,0.08648000000000002,204.5125
Decision Tree-Extra Tree-Logistic-Ridge-Gradient Boosting,5,MiniBooNE,0.08504,106.00160000000001
Decision Tree-Extra Tree-Logistic-Ridge-Linear Discriminant,5,MiniBooNE,0.09563999999999999,99.1712
Decision Tree-Extra Tree-Logistic-Ridge-Multi-layer Perceptron,5,MiniBooNE,0.08903999999999998,102.3701
Decision Tree-Extra Tree-Logistic-Ridge-Nearest Neighbors,5,MiniBooNE,0.09607999999999998,1707.5351999999998
Decision Tree-Extra Tree-Logistic-Ridge-Quadratic Discriminant,5,MiniBooNE,0.09167999999999998,102.391
Decision Tree-Extra Tree-Logistic-Ridge-Random Forest (10 estimators),5,MiniBooNE,0.08984,109.9692
Decision Tree-Extra Tree-Logistic-Ridge-SGD,5,MiniBooNE,0.10848,99.85889999999999
Decision Tree-Extra Tree-Logistic-SGD,4,MiniBooNE,0.13555999999999999,95.74980000000001
Decision Tree-Extra Tree-Logistic-SGD-BernoulliNB,5,MiniBooNE,0.12732000000000002,97.57239999999999
Decision Tree-Extra Tree-Logistic-SGD-Extra Trees,5,MiniBooNE,0.1,195.1676
Decision Tree-Extra Tree-Logistic-SGD-Gradient Boosting,5,MiniBooNE,0.09792,99.9124
Decision Tree-Extra Tree-Logistic-SGD-Linear Discriminant,5,MiniBooNE,0.10847999999999998,102.60889999999999
Decision Tree-Extra Tree-Logistic-SGD-Multi-layer Perceptron,5,MiniBooNE,0.10307999999999999,103.0509
Decision Tree-Extra Tree-Logistic-SGD-Nearest Neighbors,5,MiniBooNE,0.11168,1646.7184000000002
Decision Tree-Extra Tree-Logistic-SGD-Quadratic Discriminant,5,MiniBooNE,0.11463999999999999,102.667
Decision Tree-Extra Tree-Logistic-SGD-Random Forest (10 estimators),5,MiniBooNE,0.10296000000000001,108.82250000000002
Decision Tree-Extra Tree-Multi-layer Perceptron,3,MiniBooNE,0.08968000000000001,93.6141
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB,4,MiniBooNE,0.10788,101.199
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,MiniBooNE,0.08224000000000001,200.1696
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,MiniBooNE,0.0814,111.78270000000002
