ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-BernoulliNB,3,Australian,0.14782608695652172,2.9006
Decision Tree-Extra Tree-BernoulliNB-Extra Trees,4,Australian,0.1536231884057971,15.801299999999998
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Gradient Boosting,5,Australian,0.1449275362318841,18.000199999999996
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,Australian,0.14057971014492757,17.4992
Decision Tree-Extra Tree-BernoulliNB-Gradient Boosting,4,Australian,0.15362318840579708,2.7998000000000003
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB,4,Australian,0.17101449275362318,2.5997000000000003
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Extra Trees,5,Australian,0.15072463768115943,17.905099999999997
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Gradient Boosting,5,Australian,0.15072463768115943,3.6001
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Nearest Neighbors,5,Australian,0.16521739130434782,6.7005
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,Australian,0.14492753623188406,4.794499999999999
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors,4,Australian,0.16956521739130434,6.300199999999999
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Extra Trees,5,Australian,0.15072463768115943,19.1001
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,Australian,0.14637681159420293,7.600199999999998
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,Australian,0.14347826086956522,8.7
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators),4,Australian,0.14492753623188406,4.699
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.14202898550724635,6.100700000000001
Decision Tree-Extra Tree-Extra Trees,3,Australian,0.16086956521739132,15.900299999999998
Decision Tree-Extra Tree-Extra Trees-Gradient Boosting,4,Australian,0.1579710144927536,16.5002
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators),4,Australian,0.14782608695652177,16.0995
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.14782608695652172,19.7999
Decision Tree-Extra Tree-Gradient Boosting,3,Australian,0.15942028985507245,3.3995999999999995
Decision Tree-Extra Tree-Linear Discriminant,3,Australian,0.15072463768115943,2.8081
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB,4,Australian,0.14637681159420293,2.9997999999999996
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Extra Trees,5,Australian,0.13768115942028986,16.400299999999998
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Gradient Boosting,5,Australian,0.14202898550724638,3.6002
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-MultinomialNB,5,Australian,0.14347826086956522,2.9998
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,Australian,0.14347826086956522,6.699799999999999
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,Australian,0.14202898550724638,4.8998
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees,4,Australian,0.15507246376811593,15.089500000000001
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Gradient Boosting,5,Australian,0.14782608695652172,16.594
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,Australian,0.14492753623188404,17.305799999999998
Decision Tree-Extra Tree-Linear Discriminant-Gradient Boosting,4,Australian,0.15507246376811595,3.201599999999999
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB,4,Australian,0.17391304347826084,2.7032000000000003
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Extra Trees,5,Australian,0.15507246376811593,16.500000000000004
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Gradient Boosting,5,Australian,0.15217391304347824,2.9998
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Nearest Neighbors,5,Australian,0.1681159420289855,6.7998
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Random Forest (10 estimators),5,Australian,0.1492753623188406,4.2001
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors,4,Australian,0.17101449275362318,6.3067
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Extra Trees,5,Australian,0.15072463768115943,19.800600000000003
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,Australian,0.1463768115942029,7.099899999999998
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Australian,0.14782608695652175,8.4999
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant,4,Australian,0.18985507246376815,2.9995000000000003
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,Australian,0.1463768115942029,3.0001000000000007
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,Australian,0.15362318840579708,15.499600000000001
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,Australian,0.15507246376811595,3.7998
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-MultinomialNB,5,Australian,0.17101449275362318,3.1058
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,Australian,0.1681159420289855,6.594300000000001
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,Australian,0.14637681159420288,4.6007
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators),4,Australian,0.14637681159420288,4.3
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.1492753623188406,5.0068
Decision Tree-Extra Tree-Logistic,3,Australian,0.15362318840579708,2.6012999999999997
Decision Tree-Extra Tree-Logistic-BernoulliNB,4,Australian,0.1492753623188406,2.5942999999999996
Decision Tree-Extra Tree-Logistic-BernoulliNB-Extra Trees,5,Australian,0.13768115942028986,16.7006
Decision Tree-Extra Tree-Logistic-BernoulliNB-Gradient Boosting,5,Australian,0.14202898550724638,3.8011000000000004
Decision Tree-Extra Tree-Logistic-BernoulliNB-MultinomialNB,5,Australian,0.14492753623188406,2.901
Decision Tree-Extra Tree-Logistic-BernoulliNB-Nearest Neighbors,5,Australian,0.14347826086956522,6.8992
