ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,jannis,0.34307999999999994,1415.8439000000003
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,jannis,0.3538,1376.0394000000001
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant,4,jannis,0.37468,91.99680000000001
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,jannis,0.36736,104.00330000000001
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,jannis,0.3384,198.1551
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,jannis,0.3362,109.6025
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,jannis,0.37232000000000004,1422.0529000000001
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,jannis,0.3456,106.4933
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators),4,jannis,0.35384,93.80249999999998
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,jannis,0.32672,107.1315
Decision Tree-Extra Tree-Logistic,3,jannis,0.38499999999999995,94.00110000000001
Decision Tree-Extra Tree-Logistic-BernoulliNB,4,jannis,0.3966,87.2041
Decision Tree-Extra Tree-Logistic-BernoulliNB-Extra Trees,5,jannis,0.34848,199.1489
Decision Tree-Extra Tree-Logistic-BernoulliNB-Gradient Boosting,5,jannis,0.34548,111.598
Decision Tree-Extra Tree-Logistic-BernoulliNB-Nearest Neighbors,5,jannis,0.38904,1434.1625999999999
Decision Tree-Extra Tree-Logistic-BernoulliNB-Random Forest (10 estimators),5,jannis,0.35831999999999997,97.30860000000001
Decision Tree-Extra Tree-Logistic-Extra Trees,4,jannis,0.34652000000000005,194.9973
Decision Tree-Extra Tree-Logistic-Extra Trees-Gradient Boosting,5,jannis,0.32147999999999993,199.1217
Decision Tree-Extra Tree-Logistic-Extra Trees-Random Forest (10 estimators),5,jannis,0.32984,200.06
Decision Tree-Extra Tree-Logistic-Gradient Boosting,4,jannis,0.34332,99.50370000000001
Decision Tree-Extra Tree-Logistic-Linear Discriminant,4,jannis,0.36828000000000005,88.20090000000002
Decision Tree-Extra Tree-Logistic-Linear Discriminant-BernoulliNB,5,jannis,0.36528,91.9178
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Extra Trees,5,jannis,0.33848,186.80220000000003
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Gradient Boosting,5,jannis,0.33832,102.18509999999999
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Nearest Neighbors,5,jannis,0.36832000000000004,1398.0644
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Quadratic Discriminant,5,jannis,0.357,103.5059
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Random Forest (10 estimators),5,jannis,0.34612,90.8093
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron,4,jannis,0.37164,88.99140000000001
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-BernoulliNB,5,jannis,0.36756,91.3991
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Extra Trees,5,jannis,0.33564000000000005,206.55360000000002
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Gradient Boosting,5,jannis,0.33436,104.7019
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Linear Discriminant,5,jannis,0.35331999999999997,87.48799999999999
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Nearest Neighbors,5,jannis,0.37072000000000005,1361.1171
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Quadratic Discriminant,5,jannis,0.35824,93.8047
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Random Forest (10 estimators),5,jannis,0.34512000000000004,93.2027
Decision Tree-Extra Tree-Logistic-Nearest Neighbors,4,jannis,0.40088,1356.0284
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Extra Trees,5,jannis,0.3508799999999999,1503.3489000000002
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Gradient Boosting,5,jannis,0.34991999999999995,1406.301
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Random Forest (10 estimators),5,jannis,0.36208,1427.7266
Decision Tree-Extra Tree-Logistic-Passive Aggressive,4,jannis,0.39868000000000003,85.9024
Decision Tree-Extra Tree-Logistic-Passive Aggressive-BernoulliNB,5,jannis,0.38811999999999997,82.975
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Extra Trees,5,jannis,0.35068,186.58960000000002
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Gradient Boosting,5,jannis,0.34904,97.8529
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Linear Discriminant,5,jannis,0.36860000000000004,79.3985
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Multi-layer Perceptron,5,jannis,0.36819999999999997,86.6107
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Nearest Neighbors,5,jannis,0.38712,1387.6066000000003
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Perceptron,5,jannis,0.38912,78.00550000000001
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Quadratic Discriminant,5,jannis,0.37860000000000005,87.15480000000001
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Random Forest (10 estimators),5,jannis,0.35940000000000005,88.19160000000001
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Ridge,5,jannis,0.37132000000000004,82.84
Decision Tree-Extra Tree-Logistic-Passive Aggressive-SGD,5,jannis,0.38208000000000003,83.3008
Decision Tree-Extra Tree-Logistic-Perceptron,4,jannis,0.39116,84.59979999999999
Decision Tree-Extra Tree-Logistic-Perceptron-BernoulliNB,5,jannis,0.38756,85.5961
Decision Tree-Extra Tree-Logistic-Perceptron-Extra Trees,5,jannis,0.34824,183.7175
Decision Tree-Extra Tree-Logistic-Perceptron-Gradient Boosting,5,jannis,0.3468,100.9279
Decision Tree-Extra Tree-Logistic-Perceptron-Linear Discriminant,5,jannis,0.36656000000000005,78.97369999999998
Decision Tree-Extra Tree-Logistic-Perceptron-Multi-layer Perceptron,5,jannis,0.36816,82.79690000000001
Decision Tree-Extra Tree-Logistic-Perceptron-Nearest Neighbors,5,jannis,0.38736000000000004,1314.4935
Decision Tree-Extra Tree-Logistic-Perceptron-Quadratic Discriminant,5,jannis,0.3746,92.5162
Decision Tree-Extra Tree-Logistic-Perceptron-Random Forest (10 estimators),5,jannis,0.35736,83.61140000000002
Decision Tree-Extra Tree-Logistic-Perceptron-Ridge,5,jannis,0.37068,79.95859999999999
Decision Tree-Extra Tree-Logistic-Perceptron-SGD,5,jannis,0.38188000000000005,86.14840000000001
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant,4,jannis,0.38439999999999996,91.99640000000001
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-BernoulliNB,5,jannis,0.3766,105.0278
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Extra Trees,5,jannis,0.34012000000000003,201.90550000000002
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Gradient Boosting,5,jannis,0.3362,132.6996
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Nearest Neighbors,5,jannis,0.37976,1389.3181
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Random Forest (10 estimators),5,jannis,0.34824,104.1972
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators),4,jannis,0.35944000000000004,94.8
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators)-Gradient Boosting,5,jannis,0.32771999999999996,108.69500000000001
Decision Tree-Extra Tree-Logistic-Ridge,4,jannis,0.3714,83.6001
Decision Tree-Extra Tree-Logistic-Ridge-BernoulliNB,5,jannis,0.36868,85.3235
Decision Tree-Extra Tree-Logistic-Ridge-Extra Trees,5,jannis,0.34196,187.2498
Decision Tree-Extra Tree-Logistic-Ridge-Gradient Boosting,5,jannis,0.34104,99.86729999999999
Decision Tree-Extra Tree-Logistic-Ridge-Linear Discriminant,5,jannis,0.36007999999999996,78.5504
Decision Tree-Extra Tree-Logistic-Ridge-Multi-layer Perceptron,5,jannis,0.35683999999999994,83.1033
Decision Tree-Extra Tree-Logistic-Ridge-Nearest Neighbors,5,jannis,0.37091999999999997,1329.0533
Decision Tree-Extra Tree-Logistic-Ridge-Quadratic Discriminant,5,jannis,0.35852,95.49109999999999
Decision Tree-Extra Tree-Logistic-Ridge-Random Forest (10 estimators),5,jannis,0.34828000000000003,92.7295
Decision Tree-Extra Tree-Logistic-Ridge-SGD,5,jannis,0.37035999999999997,79.56609999999999
Decision Tree-Extra Tree-Logistic-SGD,4,jannis,0.39092000000000005,80.3083
Decision Tree-Extra Tree-Logistic-SGD-BernoulliNB,5,jannis,0.38224,80.79589999999999
Decision Tree-Extra Tree-Logistic-SGD-Extra Trees,5,jannis,0.3473200000000001,180.2132
Decision Tree-Extra Tree-Logistic-SGD-Gradient Boosting,5,jannis,0.34584,103.09589999999999
Decision Tree-Extra Tree-Logistic-SGD-Linear Discriminant,5,jannis,0.36607999999999996,86.1079
Decision Tree-Extra Tree-Logistic-SGD-Multi-layer Perceptron,5,jannis,0.37012000000000006,77.61499999999998
Decision Tree-Extra Tree-Logistic-SGD-Nearest Neighbors,5,jannis,0.38488000000000006,1345.3237999999997
Decision Tree-Extra Tree-Logistic-SGD-Quadratic Discriminant,5,jannis,0.37039999999999995,87.6171
Decision Tree-Extra Tree-Logistic-SGD-Random Forest (10 estimators),5,jannis,0.35691999999999996,85.4967
Decision Tree-Extra Tree-Multi-layer Perceptron,3,jannis,0.37995999999999996,88.61880000000001
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB,4,jannis,0.3902,85.90129999999999
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,jannis,0.34304,187.3943
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,jannis,0.3418,113.4058
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,jannis,0.3832,1372.4873
