ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Gradient Boosting,5,credit-g,0.23200000000000004,17.290399999999998
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,credit-g,0.23500000000000001,19.403200000000002
Decision Tree-Extra Tree-BernoulliNB-Gradient Boosting,4,credit-g,0.27199999999999996,4.0917
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB,4,credit-g,0.31699999999999995,3.3592
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Extra Trees,5,credit-g,0.255,16.7632
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Gradient Boosting,5,credit-g,0.259,4.602399999999999
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Nearest Neighbors,5,credit-g,0.277,9.8063
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,credit-g,0.25300000000000006,5.4954
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors,4,credit-g,0.29500000000000004,8.161
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Extra Trees,5,credit-g,0.246,22.000500000000002
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,credit-g,0.248,9.8121
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,credit-g,0.24500000000000002,11.394
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators),4,credit-g,0.277,5.690799999999999
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,credit-g,0.24100000000000002,5.829699999999999
Decision Tree-Extra Tree-Extra Trees,3,credit-g,0.26399999999999996,16.9489
Decision Tree-Extra Tree-Extra Trees-Gradient Boosting,4,credit-g,0.259,18.8308
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators),4,credit-g,0.263,18.9127
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,credit-g,0.242,18.9243
Decision Tree-Extra Tree-Gradient Boosting,3,credit-g,0.268,4.293
Decision Tree-Extra Tree-Linear Discriminant,3,credit-g,0.272,3.600599999999999
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB,4,credit-g,0.28300000000000003,4.103
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Extra Trees,5,credit-g,0.242,18.786800000000003
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Gradient Boosting,5,credit-g,0.23700000000000002,4.9845
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-MultinomialNB,5,credit-g,0.262,4.0035
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,credit-g,0.24499999999999997,9.837900000000001
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,credit-g,0.242,6.256600000000001
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees,4,credit-g,0.271,16.1785
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Gradient Boosting,5,credit-g,0.22799999999999998,16.960700000000003
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,credit-g,0.23500000000000001,17.952099999999998
Decision Tree-Extra Tree-Linear Discriminant-Gradient Boosting,4,credit-g,0.266,4.2039
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB,4,credit-g,0.31000000000000005,3.7914000000000003
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Extra Trees,5,credit-g,0.251,16.7232
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Gradient Boosting,5,credit-g,0.25200000000000006,3.5152
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Nearest Neighbors,5,credit-g,0.278,9.195
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Random Forest (10 estimators),5,credit-g,0.248,5.040000000000001
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors,4,credit-g,0.288,9.297899999999998
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Extra Trees,5,credit-g,0.24,23.670399999999997
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,credit-g,0.23900000000000005,9.666899999999998
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,credit-g,0.23600000000000004,10.6959
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant,4,credit-g,0.278,4.3996
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,credit-g,0.24300000000000002,3.7020000000000004
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,credit-g,0.23899999999999996,17.3247
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,credit-g,0.238,4.4027
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-MultinomialNB,5,credit-g,0.271,3.4966
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,credit-g,0.26399999999999996,9.3597
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,credit-g,0.23600000000000004,5.6389000000000005
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators),4,credit-g,0.272,5.4171000000000005
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,credit-g,0.23200000000000004,5.603699999999999
