ensembleDescription,k,dataset,errorRate
Perceptron-Random Forest (10 estimators),2,Breast Cancer,0.18100331135100317
Perceptron-Gradient Boosting,2,Breast Cancer,0.14950790617138748
Ridge-SGD,2,Breast Cancer,0.15407516696769857
Ridge-Multi-layer Perceptron,2,Breast Cancer,0.15810953127698205
Ridge-Linear Discriminant,2,Breast Cancer,0.12470913083453512
Ridge-Quadratic Discriminant,2,Breast Cancer,0.14576588118340544
Ridge-BernoulliNB,2,Breast Cancer,0.1711791233204053
Ridge-MultinomialNB,2,Breast Cancer,0.15548798672659306
Ridge-Nearest Neighbors,2,Breast Cancer,0.11798140602903909
Ridge-Extra Trees,2,Breast Cancer,0.09673752584440617
Ridge-Random Forest (10 estimators),2,Breast Cancer,0.13935306142451098
Ridge-Gradient Boosting,2,Breast Cancer,0.11129451888566852
SGD-Multi-layer Perceptron,2,Breast Cancer,0.17247997787765498
SGD-Linear Discriminant,2,Breast Cancer,0.13360863751557667
SGD-Quadratic Discriminant,2,Breast Cancer,0.15901900934832422
SGD-BernoulliNB,2,Breast Cancer,0.2006885463192432
SGD-MultinomialNB,2,Breast Cancer,0.16613877571022526
SGD-Nearest Neighbors,2,Breast Cancer,0.12327511049504578
SGD-Extra Trees,2,Breast Cancer,0.10442578746680482
SGD-Random Forest (10 estimators),2,Breast Cancer,0.14991302744757612
SGD-Gradient Boosting,2,Breast Cancer,0.11945032506779055
Multi-layer Perceptron-Linear Discriminant,2,Breast Cancer,0.13302001512160286
Multi-layer Perceptron-Quadratic Discriminant,2,Breast Cancer,0.16348344091140327
Multi-layer Perceptron-BernoulliNB,2,Breast Cancer,0.19159216710304625
Multi-layer Perceptron-MultinomialNB,2,Breast Cancer,0.17525775565543278
Multi-layer Perceptron-Nearest Neighbors,2,Breast Cancer,0.1405664883811017
Multi-layer Perceptron-Extra Trees,2,Breast Cancer,0.11340996812328774
Multi-layer Perceptron-Random Forest (10 estimators),2,Breast Cancer,0.1570644138278658
Multi-layer Perceptron-Gradient Boosting,2,Breast Cancer,0.12516716605293493
Linear Discriminant-Quadratic Discriminant,2,Breast Cancer,0.1236295814022953
Linear Discriminant-BernoulliNB,2,Breast Cancer,0.14784399312993843
Linear Discriminant-MultinomialNB,2,Breast Cancer,0.13420584748650025
Linear Discriminant-Nearest Neighbors,2,Breast Cancer,0.08788568254901687
Linear Discriminant-Extra Trees,2,Breast Cancer,0.07485196930874674
Linear Discriminant-Random Forest (10 estimators),2,Breast Cancer,0.12526080097823705
Linear Discriminant-Gradient Boosting,2,Breast Cancer,0.08796559601984479
Quadratic Discriminant-BernoulliNB,2,Breast Cancer,0.16790659143202513
Quadratic Discriminant-MultinomialNB,2,Breast Cancer,0.1636272594895059
Quadratic Discriminant-Nearest Neighbors,2,Breast Cancer,0.12328311467682243
Quadratic Discriminant-Extra Trees,2,Breast Cancer,0.1104406500422378
Quadratic Discriminant-Random Forest (10 estimators),2,Breast Cancer,0.1472969668118154
Quadratic Discriminant-Gradient Boosting,2,Breast Cancer,0.12667982806177455
