ensembleDescription,k,dataset,errorRate
Decission Tree-Passive Aggressive-Perceptron-Ridge-Quadratic Discriminant,5,Breast Cancer,0.09763154394365803
Decission Tree-Passive Aggressive-Perceptron-Ridge-BernoulliNB,5,Breast Cancer,0.11829242566378703
Decission Tree-Passive Aggressive-Perceptron-Ridge-MultinomialNB,5,Breast Cancer,0.12870279749653463
Decission Tree-Passive Aggressive-Perceptron-Ridge-Nearest Neighbors,5,Breast Cancer,0.11200199054433105
Decission Tree-Passive Aggressive-Perceptron-Ridge-Extra Trees,5,Breast Cancer,0.0989902946378983
Decission Tree-Passive Aggressive-Perceptron-Ridge-Random Forest (10 estimators),5,Breast Cancer,0.10335633077106172
Decission Tree-Passive Aggressive-Perceptron-Ridge-Gradient Boosting,5,Breast Cancer,0.09938282624624876
Decission Tree-Passive Aggressive-Perceptron-SGD-Multi-layer Perceptron,5,Breast Cancer,0.12508977284925532
Decission Tree-Passive Aggressive-Perceptron-SGD-Linear Discriminant,5,Breast Cancer,0.12068387915785739
Decission Tree-Passive Aggressive-Perceptron-SGD-Quadratic Discriminant,5,Breast Cancer,0.11954454338826581
Decission Tree-Passive Aggressive-Perceptron-SGD-BernoulliNB,5,Breast Cancer,0.1474266322230156
Decission Tree-Passive Aggressive-Perceptron-SGD-MultinomialNB,5,Breast Cancer,0.14795085945776917
Decission Tree-Passive Aggressive-Perceptron-SGD-Nearest Neighbors,5,Breast Cancer,0.12283001498158803
Decission Tree-Passive Aggressive-Perceptron-SGD-Extra Trees,5,Breast Cancer,0.10999065400932502
Decission Tree-Passive Aggressive-Perceptron-SGD-Random Forest (10 estimators),5,Breast Cancer,0.11834260931658755
Decission Tree-Passive Aggressive-Perceptron-SGD-Gradient Boosting,5,Breast Cancer,0.11046780125359956
Decission Tree-Passive Aggressive-Perceptron-Multi-layer Perceptron-Linear Discriminant,5,Breast Cancer,0.11072785548601485
Decission Tree-Passive Aggressive-Perceptron-Multi-layer Perceptron-Quadratic Discriminant,5,Breast Cancer,0.10498134302236037
Decission Tree-Passive Aggressive-Perceptron-Multi-layer Perceptron-BernoulliNB,5,Breast Cancer,0.1235108254808343
Decission Tree-Passive Aggressive-Perceptron-Multi-layer Perceptron-MultinomialNB,5,Breast Cancer,0.13334057910138475
Decission Tree-Passive Aggressive-Perceptron-Multi-layer Perceptron-Nearest Neighbors,5,Breast Cancer,0.10699578321968797
Decission Tree-Passive Aggressive-Perceptron-Multi-layer Perceptron-Extra Trees,5,Breast Cancer,0.1028499437607053
Decission Tree-Passive Aggressive-Perceptron-Multi-layer Perceptron-Random Forest (10 estimators),5,Breast Cancer,0.10969515268618477
Decission Tree-Passive Aggressive-Perceptron-Multi-layer Perceptron-Gradient Boosting,5,Breast Cancer,0.10276843178710278
Decission Tree-Passive Aggressive-Perceptron-Linear Discriminant-Quadratic Discriminant,5,Breast Cancer,0.09172821485744155
Decission Tree-Passive Aggressive-Perceptron-Linear Discriminant-BernoulliNB,5,Breast Cancer,0.11821091369018448
Decission Tree-Passive Aggressive-Perceptron-Linear Discriminant-MultinomialNB,5,Breast Cancer,0.12472308564707857
Decission Tree-Passive Aggressive-Perceptron-Linear Discriminant-Nearest Neighbors,5,Breast Cancer,0.10857783425043055
Decission Tree-Passive Aggressive-Perceptron-Linear Discriminant-Extra Trees,5,Breast Cancer,0.08919807666279292
Decission Tree-Passive Aggressive-Perceptron-Linear Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09412587567615502
Decission Tree-Passive Aggressive-Perceptron-Linear Discriminant-Gradient Boosting,5,Breast Cancer,0.09357342378292098
Decission Tree-Passive Aggressive-Perceptron-Quadratic Discriminant-BernoulliNB,5,Breast Cancer,0.11204985228434214
Decission Tree-Passive Aggressive-Perceptron-Quadratic Discriminant-MultinomialNB,5,Breast Cancer,0.12361197453596746
Decission Tree-Passive Aggressive-Perceptron-Quadratic Discriminant-Nearest Neighbors,5,Breast Cancer,0.10514436696956546
Decission Tree-Passive Aggressive-Perceptron-Quadratic Discriminant-Extra Trees,5,Breast Cancer,0.09324688583656535
Decission Tree-Passive Aggressive-Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09929821061032469
Decission Tree-Passive Aggressive-Perceptron-Quadratic Discriminant-Gradient Boosting,5,Breast Cancer,0.09197895810289224
Decission Tree-Passive Aggressive-Perceptron-BernoulliNB-MultinomialNB,5,Breast Cancer,0.16236606413613175
Decission Tree-Passive Aggressive-Perceptron-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.1284347390823427
Decission Tree-Passive Aggressive-Perceptron-BernoulliNB-Extra Trees,5,Breast Cancer,0.10656960137774607
Decission Tree-Passive Aggressive-Perceptron-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.11714688256955237
Decission Tree-Passive Aggressive-Perceptron-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.1087165189510088
Decission Tree-Passive Aggressive-Perceptron-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.13353176936755298
Decission Tree-Passive Aggressive-Perceptron-MultinomialNB-Extra Trees,5,Breast Cancer,0.11637113033981603
Decission Tree-Passive Aggressive-Perceptron-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.1224100404642892
Decission Tree-Passive Aggressive-Perceptron-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.11851804791307878
Decission Tree-Passive Aggressive-Perceptron-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.10411476783205686
Decission Tree-Passive Aggressive-Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.1074543084900333
Decission Tree-Passive Aggressive-Perceptron-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.10108935047114995
Decission Tree-Passive Aggressive-Perceptron-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.09214198205009731
Decission Tree-Passive Aggressive-Perceptron-Extra Trees-Gradient Boosting,5,Breast Cancer,0.08696654345360609
Decission Tree-Passive Aggressive-Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.09262844028133647
Decission Tree-Passive Aggressive-Ridge-SGD-Multi-layer Perceptron,5,Breast Cancer,0.10838974764658386
Decission Tree-Passive Aggressive-Ridge-SGD-Linear Discriminant,5,Breast Cancer,0.105927108273477
Decission Tree-Passive Aggressive-Ridge-SGD-Quadratic Discriminant,5,Breast Cancer,0.09693498177473478
Decission Tree-Passive Aggressive-Ridge-SGD-BernoulliNB,5,Breast Cancer,0.12461961467915599
Decission Tree-Passive Aggressive-Ridge-SGD-MultinomialNB,5,Breast Cancer,0.12590306072443677
Decission Tree-Passive Aggressive-Ridge-SGD-Nearest Neighbors,5,Breast Cancer,0.10206566229353645
Decission Tree-Passive Aggressive-Ridge-SGD-Extra Trees,5,Breast Cancer,0.0874719153563611
Decission Tree-Passive Aggressive-Ridge-SGD-Random Forest (10 estimators),5,Breast Cancer,0.09637321889453615
Decission Tree-Passive Aggressive-Ridge-SGD-Gradient Boosting,5,Breast Cancer,0.09129481058325516
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Linear Discriminant,5,Breast Cancer,0.09470965589019101
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Quadratic Discriminant,5,Breast Cancer,0.08577702403121398
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-BernoulliNB,5,Breast Cancer,0.11060886620648455
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-MultinomialNB,5,Breast Cancer,0.11473579199395137
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Nearest Neighbors,5,Breast Cancer,0.08786366521517948
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Extra Trees,5,Breast Cancer,0.0842671739871093
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Random Forest (10 estimators),5,Breast Cancer,0.09094935896538367
Decission Tree-Passive Aggressive-Ridge-Multi-layer Perceptron-Gradient Boosting,5,Breast Cancer,0.08068309740832527
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-Quadratic Discriminant,5,Breast Cancer,0.09401309372126777
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-BernoulliNB,5,Breast Cancer,0.11953291048851178
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-MultinomialNB,5,Breast Cancer,0.1110210348963657
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-Nearest Neighbors,5,Breast Cancer,0.09148295552661914
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-Extra Trees,5,Breast Cancer,0.08900067907198163
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09687238347264808
Decission Tree-Passive Aggressive-Ridge-Linear Discriminant-Gradient Boosting,5,Breast Cancer,0.09342620984491022
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-BernoulliNB,5,Breast Cancer,0.10664568777623759
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-MultinomialNB,5,Breast Cancer,0.10725763430923677
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-Nearest Neighbors,5,Breast Cancer,0.08310277556087611
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-Extra Trees,5,Breast Cancer,0.085886760663297
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09480047885075818
Decission Tree-Passive Aggressive-Ridge-Quadratic Discriminant-Gradient Boosting,5,Breast Cancer,0.08800234991575773
Decission Tree-Passive Aggressive-Ridge-BernoulliNB-MultinomialNB,5,Breast Cancer,0.13581223776386964
Decission Tree-Passive Aggressive-Ridge-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.09974640978610398
Decission Tree-Passive Aggressive-Ridge-BernoulliNB-Extra Trees,5,Breast Cancer,0.09662396213998684
Decission Tree-Passive Aggressive-Ridge-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.10942656921633691
Decission Tree-Passive Aggressive-Ridge-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.10275679888734872
Decission Tree-Passive Aggressive-Ridge-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.10553689857791593
Decission Tree-Passive Aggressive-Ridge-MultinomialNB-Extra Trees,5,Breast Cancer,0.09787607986446563
Decission Tree-Passive Aggressive-Ridge-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.10964598414098561
Decission Tree-Passive Aggressive-Ridge-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.10114031587348257
Decission Tree-Passive Aggressive-Ridge-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.08167443749037398
Decission Tree-Passive Aggressive-Ridge-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.08771645127716872
Decission Tree-Passive Aggressive-Ridge-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.07853617983506253
Decission Tree-Passive Aggressive-Ridge-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.0898571615257884
Decission Tree-Passive Aggressive-Ridge-Extra Trees-Gradient Boosting,5,Breast Cancer,0.07900711975469399
Decission Tree-Passive Aggressive-Ridge-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.09429200328568162
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Linear Discriminant,5,Breast Cancer,0.10488097571675929
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Quadratic Discriminant,5,Breast Cancer,0.09920637254215613
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-BernoulliNB,5,Breast Cancer,0.11412694912327373
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-MultinomialNB,5,Breast Cancer,0.11538527417239561
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Nearest Neighbors,5,Breast Cancer,0.10305050335335544
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Extra Trees,5,Breast Cancer,0.09140997279044913
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Random Forest (10 estimators),5,Breast Cancer,0.10206566229353645
Decission Tree-Passive Aggressive-SGD-Multi-layer Perceptron-Gradient Boosting,5,Breast Cancer,0.08958028217657739
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-Quadratic Discriminant,5,Breast Cancer,0.0946281439165885
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-BernoulliNB,5,Breast Cancer,0.11936266410906224
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-MultinomialNB,5,Breast Cancer,0.12128007402117962
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-Nearest Neighbors,5,Breast Cancer,0.1003143799909457
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-Extra Trees,5,Breast Cancer,0.08516818116053636
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.0946281439165885
Decission Tree-Passive Aggressive-SGD-Linear Discriminant-Gradient Boosting,5,Breast Cancer,0.09074235869002115
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-BernoulliNB,5,Breast Cancer,0.11489649402836702
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-MultinomialNB,5,Breast Cancer,0.11910493178943635
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-Nearest Neighbors,5,Breast Cancer,0.09351625105594526
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-Extra Trees,5,Breast Cancer,0.08585853600481652
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09690675711625432
Decission Tree-Passive Aggressive-SGD-Quadratic Discriminant-Gradient Boosting,5,Breast Cancer,0.08690365345393278
Decission Tree-Passive Aggressive-SGD-BernoulliNB-MultinomialNB,5,Breast Cancer,0.14661102243504473
Decission Tree-Passive Aggressive-SGD-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.11613828565827977
Decission Tree-Passive Aggressive-SGD-BernoulliNB-Extra Trees,5,Breast Cancer,0.10552425057056047
Decission Tree-Passive Aggressive-SGD-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.11314521172577625
Decission Tree-Passive Aggressive-SGD-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.10758655250789914
Decission Tree-Passive Aggressive-SGD-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.11666561655535483
Decission Tree-Passive Aggressive-SGD-MultinomialNB-Extra Trees,5,Breast Cancer,0.11131784302469397
Decission Tree-Passive Aggressive-SGD-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.11678878294432544
Decission Tree-Passive Aggressive-SGD-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.11115792273981043
Decission Tree-Passive Aggressive-SGD-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.0885822447179401
Decission Tree-Passive Aggressive-SGD-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.09564765031760034
Decission Tree-Passive Aggressive-SGD-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.08547221172110911
Decission Tree-Passive Aggressive-SGD-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.0880776545647172
Decission Tree-Passive Aggressive-SGD-Extra Trees-Gradient Boosting,5,Breast Cancer,0.07909483905293961
Decission Tree-Passive Aggressive-SGD-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.09309627653864642
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,Breast Cancer,0.07653725794934264
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,Breast Cancer,0.11229105118475893
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-MultinomialNB,5,Breast Cancer,0.11298450969136062
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,Breast Cancer,0.08221418303673524
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,Breast Cancer,0.07455646798560647
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.07883788848284586
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,Breast Cancer,0.06977356099746572
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,Breast Cancer,0.1043756038140043
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB,5,Breast Cancer,0.10613309344123809
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,Breast Cancer,0.07600604164041388
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,Breast Cancer,0.07399780876772938
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.08004292621684564
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Quadratic Discriminant-Gradient Boosting,5,Breast Cancer,0.0697704573351442
Decission Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB-MultinomialNB,5,Breast Cancer,0.12675333585360046
Decission Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.0995324204365663
Decission Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,Breast Cancer,0.09658230772461882
Decission Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.10946953043689298
Decission Tree-Passive Aggressive-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.09474951344842553
Decission Tree-Passive Aggressive-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.10248874047315681
Decission Tree-Passive Aggressive-Multi-layer Perceptron-MultinomialNB-Extra Trees,5,Breast Cancer,0.1012899100638001
Decission Tree-Passive Aggressive-Multi-layer Perceptron-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.11203331886513304
Decission Tree-Passive Aggressive-Multi-layer Perceptron-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.09770272982269454
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.07887153871643728
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.08276353126764771
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.08222039036137832
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.07797752061718544
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,Breast Cancer,0.0689131931318053
Decission Tree-Passive Aggressive-Multi-layer Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.07670648922119076
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,Breast Cancer,0.10194118909937788
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-MultinomialNB,5,Breast Cancer,0.09690365345393279
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,Breast Cancer,0.07450938799512749
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,Breast Cancer,0.08071132206680577
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,Breast Cancer,0.09129170692093362
Decission Tree-Passive Aggressive-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,Breast Cancer,0.08688813514232509
Decission Tree-Passive Aggressive-Linear Discriminant-BernoulliNB-MultinomialNB,5,Breast Cancer,0.1409092680490799
Decission Tree-Passive Aggressive-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.10086993554650125
Decission Tree-Passive Aggressive-Linear Discriminant-BernoulliNB-Extra Trees,5,Breast Cancer,0.09423871597055955
Decission Tree-Passive Aggressive-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.10481289350004433
Decission Tree-Passive Aggressive-Linear Discriminant-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.10028072975735428
Decission Tree-Passive Aggressive-Linear Discriminant-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.10156339405310295
Decission Tree-Passive Aggressive-Linear Discriminant-MultinomialNB-Extra Trees,5,Breast Cancer,0.09318089217457051
Decission Tree-Passive Aggressive-Linear Discriminant-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.10327792245978074
Decission Tree-Passive Aggressive-Linear Discriminant-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.09811179485025413
Decission Tree-Passive Aggressive-Linear Discriminant-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.07530327214684755
Decission Tree-Passive Aggressive-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.0835737154805076
Decission Tree-Passive Aggressive-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.07224031914049556
Decission Tree-Passive Aggressive-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.08413237469838468
Decission Tree-Passive Aggressive-Linear Discriminant-Extra Trees-Gradient Boosting,5,Breast Cancer,0.07336074123857131
Decission Tree-Passive Aggressive-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.08975673588067001
Decission Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB-MultinomialNB,5,Breast Cancer,0.1284616569356352
Decission Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB-Nearest Neighbors,5,Breast Cancer,0.09128471784675843
Decission Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB-Extra Trees,5,Breast Cancer,0.086960336128963
Decission Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB-Random Forest (10 estimators),5,Breast Cancer,0.09634809789837723
Decission Tree-Passive Aggressive-Quadratic Discriminant-BernoulliNB-Gradient Boosting,5,Breast Cancer,0.09134189057373415
Decission Tree-Passive Aggressive-Quadratic Discriminant-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.094793489776583
Decission Tree-Passive Aggressive-Quadratic Discriminant-MultinomialNB-Extra Trees,5,Breast Cancer,0.08760671464508572
Decission Tree-Passive Aggressive-Quadratic Discriminant-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.09874575871709068
Decission Tree-Passive Aggressive-Quadratic Discriminant-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.0885672164582779
Decission Tree-Passive Aggressive-Quadratic Discriminant-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.07371811745378343
Decission Tree-Passive Aggressive-Quadratic Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.07539409510741471
Decission Tree-Passive Aggressive-Quadratic Discriminant-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.06834522292696359
Decission Tree-Passive Aggressive-Quadratic Discriminant-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.07856440449354299
Decission Tree-Passive Aggressive-Quadratic Discriminant-Extra Trees-Gradient Boosting,5,Breast Cancer,0.07156571596589238
Decission Tree-Passive Aggressive-Quadratic Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.08521215748869379
Decission Tree-Passive Aggressive-BernoulliNB-MultinomialNB-Nearest Neighbors,5,Breast Cancer,0.13235805995435515
Decission Tree-Passive Aggressive-BernoulliNB-MultinomialNB-Extra Trees,5,Breast Cancer,0.1163147393623724
Decission Tree-Passive Aggressive-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,Breast Cancer,0.12808464363889238
Decission Tree-Passive Aggressive-BernoulliNB-MultinomialNB-Gradient Boosting,5,Breast Cancer,0.12466669466963498
Decission Tree-Passive Aggressive-BernoulliNB-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.08802048183774147
Decission Tree-Passive Aggressive-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.09637864446964711
Decission Tree-Passive Aggressive-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.0867463467794253
Decission Tree-Passive Aggressive-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.09373024040548299
Decission Tree-Passive Aggressive-BernoulliNB-Extra Trees-Gradient Boosting,5,Breast Cancer,0.08131706127516183
Decission Tree-Passive Aggressive-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.09811179485025413
Decission Tree-Passive Aggressive-MultinomialNB-Nearest Neighbors-Extra Trees,5,Breast Cancer,0.08699398636255443
Decission Tree-Passive Aggressive-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,Breast Cancer,0.09821764607048347
Decission Tree-Passive Aggressive-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,Breast Cancer,0.08906870294917928
Decission Tree-Passive Aggressive-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.09270064126797442
Decission Tree-Passive Aggressive-MultinomialNB-Extra Trees-Gradient Boosting,5,Breast Cancer,0.0813232685998049
Decission Tree-Passive Aggressive-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.09596487727699135
Decission Tree-Passive Aggressive-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,Breast Cancer,0.07481991757792993
Decission Tree-Passive Aggressive-Nearest Neighbors-Extra Trees-Gradient Boosting,5,Breast Cancer,0.06666303794868923
Decission Tree-Passive Aggressive-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.07406380242972421
Decission Tree-Passive Aggressive-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Breast Cancer,0.0751027125541974
Decission Tree-Perceptron-Ridge-SGD-Multi-layer Perceptron,5,Breast Cancer,0.11482040762987544
Decission Tree-Perceptron-Ridge-SGD-Linear Discriminant,5,Breast Cancer,0.10841248839043605
Decission Tree-Perceptron-Ridge-SGD-Quadratic Discriminant,5,Breast Cancer,0.1022827553053957
Decission Tree-Perceptron-Ridge-SGD-BernoulliNB,5,Breast Cancer,0.13057933474281605
Decission Tree-Perceptron-Ridge-SGD-MultinomialNB,5,Breast Cancer,0.1358424926375529
Decission Tree-Perceptron-Ridge-SGD-Nearest Neighbors,5,Breast Cancer,0.10629301372612168
Decission Tree-Perceptron-Ridge-SGD-Extra Trees,5,Breast Cancer,0.09855378670139035
Decission Tree-Perceptron-Ridge-SGD-Random Forest (10 estimators),5,Breast Cancer,0.10291982283455378
Decission Tree-Perceptron-Ridge-SGD-Gradient Boosting,5,Breast Cancer,0.10237357826596286
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Linear Discriminant,5,Breast Cancer,0.10006363674549501
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Quadratic Discriminant,5,Breast Cancer,0.09334701978409712
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-BernoulliNB,5,Breast Cancer,0.11306602166496318
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-MultinomialNB,5,Breast Cancer,0.1188878387775771
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Nearest Neighbors,5,Breast Cancer,0.10715570350457149
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Extra Trees,5,Breast Cancer,0.09183406607767092
Decission Tree-Perceptron-Ridge-Multi-layer Perceptron-Random Forest (10 estimators),5,Breast Cancer,0.09676496875335452
